ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,nightlight_mean,nightlight_max,nightlight_std,pop_density_mean,pop_total,road_density_km_per_km2,health_facility_count,school_count,poverty_rate,mean_cons_ae,label_source
Kigali City,Gasabo,Gikomero,RW1203,0.0357510939888332,0.943064510822296,0.1688652186897332,598.3117732558139,25727.40625,4.2662,0,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Gisozi,RW1204,16.78075714111328,28.847902297973636,5.119733408783242,13749.3125,123743.8125,10.7491,41,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Jabana,RW1205,4.309497987603866,22.22062492370605,4.418632805937905,1737.1817255434785,79910.359375,5.766,5,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Jali,RW1206,1.362862030205699,10.22783374786377,1.831044266923312,857.541015625,34301.640625,5.0391,1,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Kacyiru,RW1207,30.24511249248798,37.98317337036133,4.862027372890334,6272.6640625,43908.6484375,14.6407,24,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Kimihurura,RW1208,40.80388916015625,91.43111419677734,17.493532450149452,4743.379231770833,28460.275390625,14.708,13,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Kimironko,RW1209,24.896901633522727,55.18730163574219,8.476045896305253,7106.959821428572,99497.4375,15.2625,62,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Kinyinya,RW1210,13.60660879952567,43.68984222412109,9.182241743554869,5572.0546875,144873.421875,9.4186,33,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Ndera,RW1211,5.699356537520118,21.814849853515625,5.096754227960746,1446.6572443181817,79566.1484375,8.1335,11,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Nduba,RW1212,2.5632421190493573,11.56553554534912,2.5620805168134777,841.5975864955357,47129.46484375,5.8517,1,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Remera,RW1213,39.374267578125,87.32273864746094,16.10100737654374,8456.866319444445,76111.796875,15.6248,60,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Rusororo,RW1214,4.130073391661352,27.604923248291016,5.419218371010171,961.4805349576272,56727.3515625,6.2062,9,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Gasabo,Rutunga,RW1215,0.1230129792322566,1.3698182106018066,0.310153307795698,514.2858737244898,25200.0078125,4.0347,0,0,0.08365108654520327,2196102.34520929,EICV7_survey
Kigali City,Kicukiro,Gahanga,RW1301,6.820915265271893,19.700000762939453,4.4488891905644055,1283.5505087209303,55192.671875,5.7866,3,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Gatenga,RW1302,13.14313882084216,29.42508316040039,6.8324982187752,6170.6982421875,98731.171875,13.9808,16,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Gikondo,RW1303,22.5001961844308,27.92353630065918,3.187811245944824,5477.779947916667,16433.33984375,14.3661,7,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Kagarama,RW1304,18.015655517578125,31.82133102416992,5.569703148228665,2089.1701388888887,18802.53125,11.9838,3,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Kanombe,RW1305,11.921663411458333,41.5798454284668,8.085930612891717,2576.527478448276,74719.296875,9.454,29,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Kicukiro,RW1306,28.183984375,35.46580505371094,4.618023906220172,8445.699869791666,25337.099609375,15.8526,21,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Kigarama,RW1307,16.1606132693407,25.02428436279297,5.087036199677874,7313.472222222223,65821.25,13.6731,14,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Masaka,RW1308,4.42474865522541,23.87483024597168,5.271981924325134,1096.9257192460318,69106.3203125,6.5795,8,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Niboye,RW1309,28.22759755452474,44.988407135009766,8.943255260433466,5972.571875,29862.859375,14.583,23,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Kigali City,Kicukiro,Nyarugunga,RW1310,21.067210286458334,44.60387802124024,9.408884987281905,3733.305921052632,70932.8125,10.7158,29,0,0.059232947300016235,2465961.0099750166,EICV7_survey
Southern Province,Nyanza,Busasamana,RW2101,1.4245528844527868,7.7714996337890625,1.6204496208071597,1063.0078125,60591.4453125,5.358,9,0,0.3932636134647778,630997.9502227468,EICV7_survey
Southern Province,Nyanza,Busoro,RW2102,0.2750948135776353,7.917544364929199,0.7484763905702196,594.4233842329545,52309.2578125,2.6605,2,0,0.3932636134647778,630997.9502227468,EICV7_survey
